"Classe","Num","Mahalanobis Distance","Outlier","Área","Perímetro","Comprimento do núcleo","Largura do núcleo","Coeficiente de assimetria","Comprimento de kernel","Taxa de diâmetro equivalente"
"Cammeo","1",444.849,"TRUE",15231,525.5789795,229.7498779,85.09378815,0.928882003,15617,0.572895527
"Cammeo","100",23.958,"TRUE",14601,505.2489929,215.9343872,86.7587204,0.915735006,14991,0.668543935
"Cammeo","1008",20.685,"TRUE",13215,479.6099854,207.8880005,81.67606354,0.919587672,13462,0.536671519
"Cammeo","1009",22.488,"TRUE",15568,519.4559937,222.2280884,90.81752777,0.91268307,15984,0.78270489
"Cammeo","1012",71.598,"TRUE",12442,459.5350037,187.5088501,87.18730164,0.88532275,12941,0.587579668
"Cammeo","1019",264.623,"TRUE",11702,432.7739868,177.7246094,84.66332245,0.879242897,11975,0.597162664
"Cammeo","102",40.398,"TRUE",12599,455.2810059,188.0159149,86.37448883,0.888229549,12897,0.621252477
"Cammeo","1022",94.9,"TRUE",14340,477.8959961,196.4750671,94.25778961,0.877408326,14700,0.608142495
"Cammeo","1027",19.476,"TRUE",16413,510.1099854,210.5551147,100.1218948,0.879708171,16665,0.599890351
"Cammeo","1028",22.276,"TRUE",13924,498.5620117,212.0615692,84.91075134,0.916337788,14444,0.547499239
"Cammeo","103",152.26,"TRUE",14709,515.8499756,222.7228394,85.4315567,0.923508525,14941,0.524796605
"Cammeo","1035",27.184,"TRUE",11815,456.6029968,200.1107025,75.79281616,0.925497234,12108,0.733759761
"Cammeo","1037",176.547,"TRUE",15389,521.3040161,226.9609985,87.38693237,0.922903836,15753,0.574645281
"Cammeo","1054",38.376,"TRUE",13871,496.57901,212.5708008,83.77423859,0.919067383,14344,0.527815819
"Cammeo","1064",57.911,"TRUE",15600,502.8429871,205.2755127,99.05281067,0.875876188,16130,0.721420646
"Cammeo","1067",34.052,"TRUE",13450,465.3980103,193.3749695,89.50689697,0.886427701,13661,0.615786076
"Cammeo","1071",178.301,"TRUE",14423,507.0820007,221.5334778,83.90892029,0.92549324,14703,0.542218029
"Cammeo","1072",153.19,"TRUE",13580,464.3569946,190.3806305,91.37226868,0.877298474,13781,0.62730968
"Cammeo","1074",1203.124,"TRUE",11995,477.4110107,216.4877472,70.77008057,0.945058584,12168,0.666055858
"Cammeo","1077",22.401,"TRUE",13424,481.1749878,195.9000244,89.30523682,0.890045583,13950,0.658555746
"Cammeo","1087",136.834,"TRUE",12029,441.7399902,181.7962799,85.41960144,0.88273859,12275,0.596558213
"Cammeo","1089",42.235,"TRUE",15809,521.4970093,224.5216522,90.6051178,0.914958775,16150,0.564607143
"Cammeo","1091",31.768,"TRUE",14031,494.2650146,213.7095184,84.46609497,0.918578804,14265,0.738862574
"Cammeo","1093",50.607,"TRUE",14693,484.5629883,199.6199951,94.80760956,0.880017936,15034,0.609162509
"Cammeo","1094",32.06,"TRUE",15209,517.6879883,221.2523956,89.17511749,0.915179253,15653,0.635296583
"Cammeo","1097",139.859,"TRUE",12422,482.197998,209.213623,76.83703613,0.930115998,12783,0.498075366
"Cammeo","1102",35.902,"TRUE",12411,466.0280151,204.5133972,78.29598236,0.923814535,12707,0.530565977
"Cammeo","1106",17.63,"TRUE",11161,433.8299866,182.0749054,78.95067596,0.901097536,11490,0.611226737
"Cammeo","1108",18.67,"TRUE",15809,517.2329712,222.4206696,91.56285858,0.911335111,16025,0.556890249
"Cammeo","1109",30.453,"TRUE",11803,463.8089905,201.6506958,76.42430878,0.925399303,12138,0.549487889
"Cammeo","1111",36.878,"TRUE",15936,522.7670288,224.6175079,91.12374115,0.914013386,16298,0.609081209
"Cammeo","1118",424.232,"TRUE",14061,470.7489929,190.2900085,95.00540161,0.866448581,14347,0.618011594
"Cammeo","112",108.339,"TRUE",12471,445.3739929,184.9920654,86.85975647,0.882915258,12688,0.671784103
"Cammeo","1121",30.409,"TRUE",13867,494.6530151,213.1222382,84.20591736,0.918635488,14200,0.533592403
"Cammeo","1123",17.55,"TRUE",14998,496.9039917,215.9502716,89.39608765,0.910292327,15279,0.824836373
"Cammeo","1125",45.62,"TRUE",12536,475.1459961,205.7659454,78.26070404,0.924847364,12798,0.694900215
"Cammeo","1128",327.471,"TRUE",15373,522.2109985,229.4937286,86.34156799,0.926527798,15757,0.671603322
"Cammeo","1129",111.973,"TRUE",15609,492.6629944,202.2301636,99.01204681,0.871946752,15884,0.681020916
"Cammeo","1131",55.422,"TRUE",16625,535.9890137,229.7935944,93.0896225,0.914271951,16951,0.654141247
"Cammeo","1139",21.18,"TRUE",17437,536.8989868,230.2574615,97.31147766,0.906306863,17650,0.759153664
"Cammeo","1144",40.558,"TRUE",16386,515.0969849,208.953125,100.7425766,0.876099646,16813,0.607563972
"Cammeo","1148",34.665,"TRUE",13982,495.3410034,214.1675568,84.77728271,0.91831708,14298,0.781466603
"Cammeo","1149",64.444,"TRUE",14410,477.6619873,197.1763763,93.66033936,0.879981518,14645,0.657270551
"Cammeo","1154",208.194,"TRUE",12835,481.5029907,212.5375366,77.45262146,0.931235254,13055,0.511946082
"Cammeo","1155",38.307,"TRUE",14853,488.5610046,201.5631256,95.47245026,0.880707622,15224,0.678529024
"Cammeo","1157",48.535,"TRUE",13385,460.8250122,192.6461487,89.71348572,0.884947598,13595,0.612754047
"Cammeo","1158",137.386,"TRUE",12555,444.5799866,184.8253326,87.36722565,0.881222546,12773,0.652207792
"Cammeo","1159",119.824,"TRUE",16067,526.4249878,228.9422607,90.14622498,0.919217169,16370,0.555855393
"Cammeo","1161",815.856,"TRUE",13434,455.822998,184.1703339,93.38285065,0.861918986,13686,0.635838687
"Cammeo","1164",26.779,"TRUE",13002,460.1270142,191.4242096,87.77463531,0.888676524,13325,0.67945236
"Cammeo","1166",22.272,"TRUE",15055,508.276001,218.9765167,88.4911499,0.91470927,15361,0.686220884
"Cammeo","1167",264.777,"TRUE",13540,458.5299988,189.1114044,92.39390564,0.872525454,13710,0.799952745
"Cammeo","1169",334.933,"TRUE",12692,443.1430054,182.9328308,88.95259857,0.873815119,12849,0.638237953
"Cammeo","1170",45.562,"TRUE",11859,444.8009949,183.5527649,83.57420349,0.890330791,12213,0.763127387
"Cammeo","1177",472.717,"TRUE",14057,463.1419983,189.7926025,95.08885193,0.865438879,14259,0.626119077
"Cammeo","1178",130.765,"TRUE",17198,520.9920044,209.9702148,105.6705856,0.864132345,17586,0.606160998
"Cammeo","1179",90.443,"TRUE",14675,493.9289856,199.2336273,95.68336487,0.877127767,15317,0.6168558
"Cammeo","1180",35.738,"TRUE",12291,440.9570007,186.1877747,84.68074036,0.890586615,12476,0.730172873
"Cammeo","1181",31.448,"TRUE",15072,487.5849915,202.4947357,95.35527039,0.88218528,15267,0.790558636
"Cammeo","1182",78.131,"TRUE",16390,502.678009,207.0486603,101.5171432,0.8715505,16635,0.714503706
"Cammeo","1185",183.941,"TRUE",16944,543.1259766,236.1252136,92.68103027,0.919748604,17189,0.651943028
"Cammeo","1187",298.603,"TRUE",12859,445.0100098,184.3051758,89.47380829,0.874255776,13030,0.710442007
"Cammeo","1192",20.938,"TRUE",17263,520.3029785,215.0044098,103.367218,0.876847923,17565,0.661874115
"Cammeo","1194",106.465,"TRUE",14806,481.9119873,198.2439117,95.78669739,0.875523269,15162,0.701041639
"Cammeo","1197",85.458,"TRUE",12716,444.1080017,186.8963928,87.27814484,0.88426429,12872,0.747384489
"Cammeo","1199",73.974,"TRUE",14015,475.723999,195.32164,92.48479462,0.88079381,14492,0.748624563
"Cammeo","120",27.691,"TRUE",11956,438.8959961,184.6437073,83.21842194,0.89267683,12121,0.577027023
"Cammeo","1203",157.589,"TRUE",15094,513.9240112,224.7196503,86.43656158,0.923065901,15292,0.79417026
"Cammeo","1204",54.889,"TRUE",18913,541.7459717,227.1354828,106.9483566,0.88220948,19099,0.804124177
"Cammeo","1205",320.993,"TRUE",14013,480.8309937,191.8450775,94.87568665,0.869153023,14622,0.625915647
"Cammeo","1209",264.395,"TRUE",15915,528.1569824,231.5944824,88.57102203,0.923980296,16251,0.813026845
"Cammeo","121",25.911,"TRUE",10604,425.9259949,179.1511841,76.3516922,0.904635668,10830,0.574898362
"Cammeo","1212",159.802,"TRUE",12239,473.5140076,208.0478973,75.60643768,0.931629777,12622,0.517199099
"Cammeo","1213",276.474,"TRUE",17335,544.0930176,239.010498,92.99298096,0.921206117,17526,0.821097016
"Cammeo","1214",49.432,"TRUE",16788,533.4879761,230.1293335,93.76287842,0.913233936,17041,0.572676122
"Cammeo","1215",47.145,"TRUE",14968,514.8010254,220.223999,87.73534393,0.917215526,15438,0.740916729
"Cammeo","1216",35.547,"TRUE",17425,541.8029785,232.0575562,96.44174194,0.90955019,17758,0.703955054
"Cammeo","1218",2976.318,"TRUE",13352,514.4869995,232.4802094,73.986763,0.948006928,13585,0.592816234
"Cammeo","1219",60.553,"TRUE",14824,513.21698,220.160202,86.80725098,0.918985546,15150,0.568361342
